num_of_threads_4, 1940, 1765, 1913, 1962, 1859, 1830, 1916, 2019, 1934, 1929
num_of_threads_4, 929, 964, 946, 941, 958, 941, 886, 899, 922, 927
num_of_threads_4, 457, 527, 481, 539, 466, 497, 450, 472, 458, 476
num_of_threads_4, 229, 228, 233, 248, 229, 240, 236, 220, 257, 231
num_of_threads_4, 116, 113, 119, 113, 132, 126, 115, 117, 118, 114
num_of_threads_4, 62, 60, 62, 60, 64, 60, 73, 60, 61, 63
num_of_threads_4, 29, 35, 34, 28, 33, 34, 30, 34, 34, 33
